"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"73","G1-NY Metro","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"74","G1-World Wide","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"75","G1-North America","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Start Of Transmission","Off","Analog","1","0","Off","0","0","0","0","0","0","1","0","0","0","0"
"76","G1-World Wide En","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"78","G1-NE Regional","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"79","G1-TAC 310","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"80","G1-TAC 311","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"81","G1-TAC 312","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"82","G1-DCI Bridge","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"83","G1-LIMARC Local","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"84","G1-Parrot Test","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"85","G1-Time Slot 1","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"86","G1-Slot 2","438.51250","433.51250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"87","G1-Disney","438.61250","433.61250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","3","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"93","PV-WBWAK-146.805","146.80500","146.20500","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"94","S-W2KPQ-147.375","147.37500","147.97500","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"95","EM-WBCYN-147.135","147.13500","147.73500","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"96","GO-W2VL-146.850","146.85000","146.25000","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"97","NL-W2GSB-146.685","146.68500","146.08500","A-Analog","Turbo","12.5K","Off","110.9","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"98","GO-KCCJP-145.410","145.41000","144.81000","A-Analog","Turbo","12.5K","Off","114.8","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"99","MN-W2EJ-146.640","146.64000","146.04000","A-Analog","Turbo","12.5K","Off","100.0","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"100","NY-WBZSE-147.000","147.00000","146.40000","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"101","NY-W2ABC-147.270","147.27000","147.87000","A-Analog","Turbo","12.5K","Off","141.3","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"102","HU-WRABA-147.21","147.21000","147.81000","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"103","YP-W2DQ-145.210","145.21000","144.61000","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"104","PV-WALQO-146.745","146.74500","146.14500","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"105","SH-448.325-W2OQI","448.32500","443.32500","A-Analog","High","12.5K","Off","107.2","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"106","GP-W2AMC-440.050","440.05000","445.05000","A-Analog","High","12.5K","Off","107.2","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"107","EM-KBBWV-443.525","443.52500","448.52500","A-Analog","Turbo","12.5K","Off","114.8","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"108","PV-W2KPQ-449.125","449.12500","444.12500","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"109","GO-WBWAK-447.025","447.02500","442.02500","A-Analog","Turbo","12.5K","Off","D516N","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"110","SY-WBCYN-447.975","447.97500","442.97500","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"111","SG-K2GLP-449.980","449.98000","444.98000","A-Analog","High","12.5K","Off","94.8","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"112","GO-K2CJP-445.375","445.37500","440.37500","A-Analog","Turbo","12.5K","Off","114.8","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"113","EM-NCPD-444.8875","444.88750","449.88750","A-Analog","Turbo","12.5K","Off","179.9","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"114","OC-N2ION-447.925","447.92500","442.92500","A-Analog","Turbo","12.5K","Off","114.8","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"115","CD-N2XPM-445.525","445.52500","440.52500","A-Analog","Turbo","12.5K","131.8","131.8","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"116","PV-KE2EJ-447.200","447.20000","442.20000","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"117","SY-N2HBA-448.025","448.02500","443.02500","A-Analog","Turbo","12.5K","Off","136.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"118","FV-K2LI-445.725","445.72500","440.72500","A-Analog","Turbo","12.5K","Off","91.5","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"119","EM-WBERS-444.750","444.75000","449.75000","A-Analog","Turbo","12.5K","Off","110.9","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"120","HU-WRABA-448.675","448.67500","443.67500","A-Analog","High","12.5K","Off","114.8","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"121","146.52 CALL","146.52000","146.52000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"122","146.535","146.53500","146.53500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"123","146.55","146.55000","146.55000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"124","146.565","146.56500","146.56500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"125","146.58","146.58000","146.58000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"126","146.595","146.59500","146.59500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"127","147.42","147.42000","147.42000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"128","147.435","147.43500","147.43500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"129","147.45","147.45000","147.45000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"130","147.465","147.46500","147.46500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"131","147.48","147.48000","147.48000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"132","147.495","147.49500","147.49500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"133","147.51","147.51000","147.51000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"134","147.525","147.52500","147.52500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"135","147.54","147.54000","147.54000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"136","147.555","147.55500","147.55500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"137","147.57","147.57000","147.57000","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"138","147.585","147.58500","147.58500","A-Analog","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"139","70CM Call","446.00000","446.00000","A-Analog","High","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"4001","Channel VFO A","143.39000","143.39000","D-Digital","Turbo","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
"4002","Channel VFO B","145.12500","145.12500","D-Digital","Turbo","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","1","0","0","0","0","0","0","0","0"
